,0
119,5.988919973373413
120,5.988906636834145
121,5.9888932555913925
122,5.988885328173637
123,5.988875582814217
124,5.988865599036217
125,5.9888580441474915
126,5.988850802183151
127,5.988844990730286
128,5.988836243748665
129,5.988826483488083
130,5.988816410303116
131,5.988806799054146
132,5.9887984693050385
133,5.988782167434692
134,5.988766252994537
135,5.988750636577606
136,5.988735347986221
137,5.988721027970314
138,5.988706558942795
139,5.988690823316574
140,5.988674730062485
141,5.988657981157303
142,5.988640859723091
143,5.9886233657598495
144,5.988599509000778
145,5.988698050379753
146,5.9886797070503235
147,5.9886622577905655
148,5.988643482327461
149,5.988625928759575
150,5.98860801756382
151,5.988589510321617
152,5.988571360707283
153,5.9885536432266235
154,5.988531902432442
155,5.988511472940445
156,5.988492488861084
157,5.9884753078222275
158,5.988458961248398
159,5.988444536924362
160,5.988431885838509
161,5.988419055938721
162,5.988407209515572
163,5.988396406173706
164,5.988384768366814
165,5.988374009728432
166,5.98836424946785
167,5.988355815410614
168,5.988347828388214
169,5.988340735435486
170,5.988331377506256
171,5.988323509693146
172,5.988316297531128
173,5.988309428095818
174,5.988302797079086
175,5.988296836614609
176,5.988290682435036
177,5.988284230232239
178,5.988277852535248
179,5.988272354006767
180,5.988383665680885
181,5.9883724600076675
182,5.98836125433445
183,5.988340333104134
184,5.988319888710976
185,5.988300606608391
186,5.988282784819603
187,5.988266661763191
188,5.988253653049469
189,5.988238990306854
190,5.988224387168884
191,5.988210082054138
192,5.988196715712547
193,5.988184496760368
194,5.9881672859191895
195,5.988150462508202
196,5.988133937120438
197,5.988118261098862
198,5.9881051033735275
199,5.988094002008438
200,5.988083943724632
201,5.988074958324432
202,5.988067552447319
203,5.988061770796776
204,5.988056063652039
205,5.988052263855934
206,5.988049268722534
207,5.988046810030937
208,5.988044485449791
209,5.988041669130325
210,5.9880401045084
211,5.988034024834633
212,5.988029211759567
213,5.988190978765488
214,5.9881883561611176
215,5.98818564414978
216,5.988178580999374
217,5.9881729781627655
218,5.988168850541115
219,5.9881656020879745
220,5.988164022564888
221,5.988161489367485
222,5.988158613443375
223,5.988157406449318
224,5.988155901432037
225,5.988153472542763
226,5.988150477409363
227,5.988147974014282
228,5.988144129514694
229,5.988140970468521
230,5.98813895881176
231,5.988139227032661
232,5.988144412636757
233,5.9881483763456345
234,5.988152951002121
235,5.988155826926231
236,5.988158136606216
237,5.988159701228142
238,5.9881521463394165
239,5.98814395070076
240,5.988138630986214
241,5.988131418824196
242,5.988124042749405
243,5.988113909959793
244,5.988102629780769
245,5.9880921840667725
246,5.988082483410835
247,5.98807418346405
248,5.988229900598526
249,5.988223344087601
250,5.988218605518341
251,5.98821422457695
252,5.9882088005542755
253,5.988203525543213
254,5.9881992638111115
255,5.98819525539875
256,5.988186895847321
257,5.988178342580795
258,5.988169386982918
259,5.988159254193306
260,5.988146170973778
261,5.988133758306503
262,5.988121047616005
263,5.988108247518539
264,5.988094180822372
265,5.988077685236931
266,5.988056927919388
267,5.988035723567009
268,5.988015726208687
269,5.98799541592598
270,5.9879754185676575
271,5.987962231040001
272,5.987949430942535
273,5.987936109304428
274,5.987922087311745
275,5.987908586859703
276,5.987895712256432
277,5.987878188490868
